"","date","deaths"
"266","10/18/20",3503
"267","3/27/20",3494
"268","7/5/20",3488
"269","5/3/20",3485
"270","3/29/20",3476
"271","5/11/20",3465
"272","6/15/20",3420
"273","6/14/20",3417
"274","5/17/20",3198
"275","6/28/20",3152
"276","6/1/20",3085
"277","3/26/20",3020
"278","5/24/20",3000
"279","5/31/20",2980
"280","3/25/20",2799
"281","6/7/20",2752
"282","3/24/20",2285
"283","3/23/20",1941
"284","3/21/20",1722
"285","3/22/20",1674
"286","3/20/20",1481
"287","5/25/20",1202
"288","3/19/20",1112
"289","3/18/20",903
"290","3/17/20",812
"291","3/16/20",678
"292","3/15/20",641
"293","3/13/20",497
"294","3/14/20",420
"295","3/11/20",344
"296","3/12/20",306
"297","3/10/20",274
"298","2/13/20",253
"299","3/8/20",239
"300","2/22/20",207
"301","3/9/20",190
"302","2/24/20",160
"303","2/14/20",152
"304","2/15/20",143
"305","2/18/20",140
"306","2/20/20",125
"307","2/19/20",115
"308","3/6/20",111
"309","2/10/20",107
"310","2/16/20",104
"311","3/7/20",104
"312","2/2/20",103
"313","2/11/20",100
"314","2/9/20",100
"315","2/17/20",98
"316","3/4/20",95
"317","3/5/20",94
"318","3/2/20",89
"319","2/8/20",87
"320","2/7/20",85
"321","2/25/20",80
"322","3/3/20",75
"323","2/5/20",72
"324","2/6/20",70
"325","2/29/20",69
"326","2/4/20",66
"327","2/3/20",64
"328","2/26/20",61
"329","2/28/20",59
"330","3/1/20",54
"331","1/28/20",49
"332","2/1/20",46
"333","2/27/20",43
"334","1/31/20",42
"335","1/30/20",38
"336","1/25/20",16
"337","1/26/20",14
"338","1/27/20",14
"339","1/22/20",11
"340","2/23/20",11
"341","1/24/20",8
"342","2/12/20",5
"343","2/21/20",4
"344","1/21/20",3
"345","1/29/20",2
"346","1/11/20",1
"347","1/15/20",1
"348","1/19/20",1
"349","1/23/20",1
"350","1/12/20",0
"351","1/13/20",0
"352","1/14/20",0
"353","1/16/20",0
"354","1/17/20",0
"355","1/18/20",0
"356","1/20/20",0
